paper_id,claim_id,table_figure,claim,value_script,value_paper,match,notes,value_rewrite,match_rewrite,defect_locus
coppock_kaur_2022,table_3|ev_bounds_high_hard_cases,table_3,"EV bounds high, Hard Cases",30,30,1,,30,1,
coppock_kaur_2022,figure_1|low_bound_before_any_data,figure_1,"low bound, Before Any Data",-100,-100,1,,-100,1,
coppock_kaur_2022,figure_1|high_bound_before_any_data,figure_1,"high bound, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_1|low_bound_initial_values,figure_1,"low bound, Initial Values",-40,-40,1,,-40,1,
coppock_kaur_2022,figure_1|high_bound_initial_values,figure_1,"high bound, Initial Values",60,60,1,,60,1,
coppock_kaur_2022,figure_1|low_bound_easy_cases,figure_1,"low bound, Easy Cases",-20,-20,1,,-20,1,
coppock_kaur_2022,figure_1|high_bound_easy_cases,figure_1,"high bound, Easy Cases",30,30,1,,30,1,
coppock_kaur_2022,figure_1|low_bound_nulls_for_6_7,figure_1,"low bound, Nulls for 6&7",0,0,1,,0,1,
coppock_kaur_2022,figure_1|high_bound_nulls_for_6_7,figure_1,"high bound, Nulls for 6&7",30,30,1,,30,1,
coppock_kaur_2022,figure_1|low_bound_hard_cases,figure_1,"low bound, Hard Cases",20,20,1,,20,1,
coppock_kaur_2022,figure_1|high_bound_hard_cases,figure_1,"high bound, Hard Cases",30,30,1,,30,1,
coppock_kaur_2022,table_4|ev_bounds_low_unit_6_0_unit_7_0,table_4,"EV bounds low, unit 6 = 0, unit 7 = 0",0,0,1,Deposited script prints the bounds as fractions; the paper prints percentage points,0,1,
coppock_kaur_2022,table_4|ev_bounds_high_unit_6_0_unit_7_0,table_4,"EV bounds high, unit 6 = 0, unit 7 = 0",30,30,1,,30,1,
coppock_kaur_2022,table_4|probability_unit_6_0_unit_7_0,table_4,"probability, unit 6 = 0, unit 7 = 0",0.56,0.56,1,,0.56,1,
coppock_kaur_2022,table_4|ev_bounds_low_unit_6_1_unit_7_0,table_4,"EV bounds low, unit 6 = 1, unit 7 = 0",-10,-10,1,Deposited script prints the bounds as fractions; the paper prints percentage points,-10,1,
coppock_kaur_2022,table_4|ev_bounds_high_unit_6_1_unit_7_0,table_4,"EV bounds high, unit 6 = 1, unit 7 = 0",20,20,1,,20,1,
coppock_kaur_2022,table_4|probability_unit_6_1_unit_7_0,table_4,"probability, unit 6 = 1, unit 7 = 0",0.14,0.14,1,,0.14,1,
coppock_kaur_2022,table_4|ev_bounds_low_unit_6_0_unit_7_1,table_4,"EV bounds low, unit 6 = 0, unit 7 = 1",-10,-10,1,Deposited script prints the bounds as fractions; the paper prints percentage points,-10,1,
coppock_kaur_2022,table_4|ev_bounds_high_unit_6_0_unit_7_1,table_4,"EV bounds high, unit 6 = 0, unit 7 = 1",20,20,1,,20,1,
coppock_kaur_2022,table_4|probability_unit_6_0_unit_7_1,table_4,"probability, unit 6 = 0, unit 7 = 1",0.24,0.24,1,,0.24,1,
coppock_kaur_2022,table_4|ev_bounds_low_unit_6_1_unit_7_1,table_4,"EV bounds low, unit 6 = 1, unit 7 = 1",-20,-20,1,Deposited script prints the bounds as fractions; the paper prints percentage points,-20,1,
coppock_kaur_2022,table_4|ev_bounds_high_unit_6_1_unit_7_1,table_4,"EV bounds high, unit 6 = 1, unit 7 = 1",10,10,1,,10,1,
coppock_kaur_2022,table_4|probability_unit_6_1_unit_7_1,table_4,"probability, unit 6 = 1, unit 7 = 1",0.06,0.06,1,,0.06,1,
coppock_kaur_2022,table_4|probability_weighted_point_estimate_lower_bound,table_4,"probability-weighted point estimate, lower bound",,-5,,Stated in the Probabilistic Extension section; the deposited scripts do not compute it,-5,1,
coppock_kaur_2022,table_4|probability_weighted_point_estimate_upper_bound,table_4,"probability-weighted point estimate, upper bound",,25,,,25,1,
coppock_kaur_2022,table_4|2_5th_quantile_of_the_lower_bound,table_4,2.5th quantile of the lower bound,,-20,,,-20,1,
coppock_kaur_2022,table_4|97_5th_quantile_of_the_lower_bound,table_4,97.5th quantile of the lower bound,,0,,,0,1,
coppock_kaur_2022,table_4|2_5th_quantile_of_the_upper_bound,table_4,2.5th quantile of the upper bound,,10,,,10,1,
coppock_kaur_2022,table_4|97_5th_quantile_of_the_upper_bound,table_4,97.5th quantile of the upper bound,,30,,,30,1,
coppock_kaur_2022,table_4|probability_that_unit_6_has_y0_1,table_4,probability that unit 6 has Y0 = 1,0.2,0.3,0,"The text says the probabilities for units 6 and 7 are .3 and .4; the probabilities printed in Table 4 require .2 and .3, which is what the deposited script uses",0.2,0,paper_internal
coppock_kaur_2022,table_4|probability_that_unit_7_has_y0_1,table_4,probability that unit 7 has Y0 = 1,0.3,0.4,0,,0.3,0,paper_internal
coppock_kaur_2022,table_5|democratization_negative_effect,table_5,"democratization, Negative Effect",2% (1),2% (1),1,"Paper column headings are Prevents Authoritarianism, No Effect, Causes Authoritarianism, Unimputed",2% (1),1,
coppock_kaur_2022,table_5|end_of_conflict_negative_effect,table_5,"end of conflict, Negative Effect",0% (0),,,The paper prints only the democratization row; this cell is unverifiable,0% (0),,
coppock_kaur_2022,table_5|democratization_no_effect,table_5,"democratization, No Effect",40% (25),40% (25),1,"Paper column headings are Prevents Authoritarianism, No Effect, Causes Authoritarianism, Unimputed",40% (25),1,
coppock_kaur_2022,table_5|end_of_conflict_no_effect,table_5,"end of conflict, No Effect",43% (23),,,The paper prints only the democratization row; this cell is unverifiable,43% (23),,
coppock_kaur_2022,table_5|democratization_positive_effect,table_5,"democratization, Positive Effect",8% (5),8% (5),1,"Paper column headings are Prevents Authoritarianism, No Effect, Causes Authoritarianism, Unimputed",8% (5),1,
coppock_kaur_2022,table_5|end_of_conflict_positive_effect,table_5,"end of conflict, Positive Effect",13% (7),,,The paper prints only the democratization row; this cell is unverifiable,13% (7),,
coppock_kaur_2022,table_5|democratization_unimputed,table_5,"democratization, Unimputed",51% (32),51% (32),1,"Paper column headings are Prevents Authoritarianism, No Effect, Causes Authoritarianism, Unimputed",51% (32),1,
coppock_kaur_2022,table_5|end_of_conflict_unimputed,table_5,"end of conflict, Unimputed",44% (24),,,The paper prints only the democratization row; this cell is unverifiable,44% (24),,
coppock_kaur_2022,figure_2|low_bound_before_any_data,figure_2,"low bound, Before Any Data",-100,-100,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-100,1,
coppock_kaur_2022,figure_2|high_bound_before_any_data,figure_2,"high bound, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_2|low_bound_initial_values,figure_2,"low bound, Initial Values",-25,-25,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-25,1,
coppock_kaur_2022,figure_2|high_bound_initial_values,figure_2,"high bound, Initial Values",75,75,1,,75,1,
coppock_kaur_2022,figure_2|low_bound_disbanded_and_discredited_cases,figure_2,"low bound, Disbanded and Discredited Cases",-25,-25,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-25,1,
coppock_kaur_2022,figure_2|high_bound_disbanded_and_discredited_cases,figure_2,"high bound, Disbanded and Discredited Cases",72,72,1,,72,1,
coppock_kaur_2022,figure_2|low_bound_treated_cases,figure_2,"low bound, Treated Cases",-16,-16,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",-17,0,archive
coppock_kaur_2022,figure_2|high_bound_treated_cases,figure_2,"high bound, Treated Cases",68,68,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",67,0,archive
coppock_kaur_2022,figure_2|low_bound_non_transitional_cases,figure_2,"low bound, Non-transitional Cases",-12,-12,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",-13,0,archive
coppock_kaur_2022,figure_2|high_bound_non_transitional_cases,figure_2,"high bound, Non-transitional Cases",62,62,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",61,0,archive
coppock_kaur_2022,figure_2|low_bound_untreated_cases,figure_2,"low bound, Untreated Cases",-2,-2,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-2,1,
coppock_kaur_2022,figure_2|high_bound_untreated_cases,figure_2,"high bound, Untreated Cases",49,49,1,,49,1,
coppock_kaur_2022,figure_2|low_bound_unimputable_cases,figure_2,"low bound, Unimputable Cases",-2,-2,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-2,1,
coppock_kaur_2022,figure_2|high_bound_unimputable_cases,figure_2,"high bound, Unimputable Cases",49,49,1,,49,1,
coppock_kaur_2022,figure_a1|low_bound_before_any_data,figure_a1,"low bound, Before Any Data",-100,-100,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-100,1,
coppock_kaur_2022,figure_a1|high_bound_before_any_data,figure_a1,"high bound, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_a1|low_bound_initial_values,figure_a1,"low bound, Initial Values",-33,-33,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-33,1,
coppock_kaur_2022,figure_a1|high_bound_initial_values,figure_a1,"high bound, Initial Values",67,67,1,,67,1,
coppock_kaur_2022,figure_a1|low_bound_disbanded_and_discredited_cases,figure_a1,"low bound, Disbanded and Discredited Cases",-32,-32,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-32,1,
coppock_kaur_2022,figure_a1|high_bound_disbanded_and_discredited_cases,figure_a1,"high bound, Disbanded and Discredited Cases",61,61,1,,61,1,
coppock_kaur_2022,figure_a1|low_bound_treated_cases,figure_a1,"low bound, Treated Cases",-26,-26,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-26,1,
coppock_kaur_2022,figure_a1|high_bound_treated_cases,figure_a1,"high bound, Treated Cases",56,56,1,,56,1,
coppock_kaur_2022,figure_a1|low_bound_non_transitional_cases,figure_a1,"low bound, Non-transitional Cases",-24,-24,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-24,1,
coppock_kaur_2022,figure_a1|high_bound_non_transitional_cases,figure_a1,"high bound, Non-transitional Cases",54,54,1,,54,1,
coppock_kaur_2022,figure_a1|low_bound_untreated_cases,figure_a1,"low bound, Untreated Cases",-3,-3,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-3,1,
coppock_kaur_2022,figure_a1|high_bound_untreated_cases,figure_a1,"high bound, Untreated Cases",42,42,1,,42,1,
coppock_kaur_2022,figure_a1|low_bound_unimputable_cases,figure_a1,"low bound, Unimputable Cases",-3,-3,1,"Rounded label; the deposited script sets no seed, so its value is one draw",-3,1,
coppock_kaur_2022,figure_a1|high_bound_unimputable_cases,figure_a1,"high bound, Unimputable Cases",42,42,1,,42,1,
coppock_kaur_2022,figure_3|low_bound_atu_before_any_data,figure_3,"low bound, ATU, Before Any Data",-100,-100,1,Rounded label; the deposited script sets no seed,-100,1,
coppock_kaur_2022,figure_3|high_bound_atu_before_any_data,figure_3,"high bound, ATU, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_3|low_bound_atu_initial_values,figure_3,"low bound, ATU, Initial Values",-16,-16,1,Rounded label; the deposited script sets no seed,-16,1,
coppock_kaur_2022,figure_3|high_bound_atu_initial_values,figure_3,"high bound, ATU, Initial Values",84,84,1,,84,1,
coppock_kaur_2022,figure_3|low_bound_atu_disbanded_and_discredited_cases,figure_3,"low bound, ATU, Disbanded and Discredited Cases",-16,-16,1,Rounded label; the deposited script sets no seed,-16,1,
coppock_kaur_2022,figure_3|high_bound_atu_disbanded_and_discredited_cases,figure_3,"high bound, ATU, Disbanded and Discredited Cases",80,80,1,,80,1,
coppock_kaur_2022,figure_3|low_bound_atu_treated_cases,figure_3,"low bound, ATU, Treated Cases",-16,-16,1,Rounded label; the deposited script sets no seed,-16,1,
coppock_kaur_2022,figure_3|high_bound_atu_treated_cases,figure_3,"high bound, ATU, Treated Cases",80,80,1,,80,1,
coppock_kaur_2022,figure_3|low_bound_atu_non_transitional_cases,figure_3,"low bound, ATU, Non-transitional Cases",-12,-12,1,Rounded label; the deposited script sets no seed,-12,1,
coppock_kaur_2022,figure_3|high_bound_atu_non_transitional_cases,figure_3,"high bound, ATU, Non-transitional Cases",74,74,1,,74,1,
coppock_kaur_2022,figure_3|low_bound_atu_untreated_cases,figure_3,"low bound, ATU, Untreated Cases",0,0,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",1,0,archive
coppock_kaur_2022,figure_3|high_bound_atu_untreated_cases,figure_3,"high bound, ATU, Untreated Cases",58,58,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",60,0,archive
coppock_kaur_2022,figure_3|low_bound_atu_unimputable_cases,figure_3,"low bound, ATU, Unimputable Cases",0,0,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",1,0,archive
coppock_kaur_2022,figure_3|high_bound_atu_unimputable_cases,figure_3,"high bound, ATU, Unimputable Cases",58,58,1,"The published label is what the deposited data give; the rewrite draws from the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases",60,0,archive
coppock_kaur_2022,figure_3|low_bound_att_before_any_data,figure_3,"low bound, ATT, Before Any Data",-100,-100,1,Rounded label; the deposited script sets no seed,-100,1,
coppock_kaur_2022,figure_3|high_bound_att_before_any_data,figure_3,"high bound, ATT, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_3|low_bound_att_initial_values,figure_3,"low bound, ATT, Initial Values",-88,-88,1,"The exact bound is -87.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",-87.5,1,
coppock_kaur_2022,figure_3|high_bound_att_initial_values,figure_3,"high bound, ATT, Initial Values",12,12,1,"The exact bound is 12.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",12.5,1,
coppock_kaur_2022,figure_3|low_bound_att_disbanded_and_discredited_cases,figure_3,"low bound, ATT, Disbanded and Discredited Cases",-88,-88,1,"The exact bound is -87.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",-87.5,1,
coppock_kaur_2022,figure_3|high_bound_att_disbanded_and_discredited_cases,figure_3,"high bound, ATT, Disbanded and Discredited Cases",12,12,1,"The exact bound is 12.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",12.5,1,
coppock_kaur_2022,figure_3|low_bound_att_treated_cases,figure_3,"low bound, ATT, Treated Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|high_bound_att_treated_cases,figure_3,"high bound, ATT, Treated Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|low_bound_att_non_transitional_cases,figure_3,"low bound, ATT, Non-transitional Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|high_bound_att_non_transitional_cases,figure_3,"high bound, ATT, Non-transitional Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|low_bound_att_untreated_cases,figure_3,"low bound, ATT, Untreated Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|high_bound_att_untreated_cases,figure_3,"high bound, ATT, Untreated Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|low_bound_att_unimputable_cases,figure_3,"low bound, ATT, Unimputable Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_3|high_bound_att_unimputable_cases,figure_3,"high bound, ATT, Unimputable Cases",-15,-15,1,"The published label is what the deposited data give; the rewrite uses the imputation probabilities appendix C states, which the deposit transcribes differently for seven cases. The bound is exactly -22.5, enumerated rather than simulated, and no whole number states it",-22.5,0,archive
coppock_kaur_2022,figure_a2|low_bound_atu_before_any_data,figure_a2,"low bound, ATU, Before Any Data",-100,-100,1,Rounded label; the deposited script sets no seed,-100,1,
coppock_kaur_2022,figure_a2|high_bound_atu_before_any_data,figure_a2,"high bound, ATU, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_a2|low_bound_atu_initial_values,figure_a2,"low bound, ATU, Initial Values",-29,-29,1,Rounded label; the deposited script sets no seed,-29,1,
coppock_kaur_2022,figure_a2|high_bound_atu_initial_values,figure_a2,"high bound, ATU, Initial Values",71,71,1,,71,1,
coppock_kaur_2022,figure_a2|low_bound_atu_disbanded_and_discredited_cases,figure_a2,"low bound, ATU, Disbanded and Discredited Cases",-27,-27,1,"The exact bound is -27.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",-27.5,1,
coppock_kaur_2022,figure_a2|high_bound_atu_disbanded_and_discredited_cases,figure_a2,"high bound, ATU, Disbanded and Discredited Cases",64,64,1,,64,1,
coppock_kaur_2022,figure_a2|low_bound_atu_treated_cases,figure_a2,"low bound, ATU, Treated Cases",-27,-27,1,"The exact bound is -27.5, halfway between two whole numbers, so no whole-number label is determined; the published label is one of the two it lies between and is not contradicted at the precision the figure prints",-27.5,1,
coppock_kaur_2022,figure_a2|high_bound_atu_treated_cases,figure_a2,"high bound, ATU, Treated Cases",64,64,1,,64,1,
coppock_kaur_2022,figure_a2|low_bound_atu_non_transitional_cases,figure_a2,"low bound, ATU, Non-transitional Cases",-26,-26,1,Rounded label; the deposited script sets no seed,-26,1,
coppock_kaur_2022,figure_a2|high_bound_atu_non_transitional_cases,figure_a2,"high bound, ATU, Non-transitional Cases",62,62,1,,62,1,
coppock_kaur_2022,figure_a2|low_bound_atu_untreated_cases,figure_a2,"low bound, ATU, Untreated Cases",-2,-2,1,Rounded label; the deposited script sets no seed,-2,1,
coppock_kaur_2022,figure_a2|high_bound_atu_untreated_cases,figure_a2,"high bound, ATU, Untreated Cases",48,48,1,,48,1,
coppock_kaur_2022,figure_a2|low_bound_atu_unimputable_cases,figure_a2,"low bound, ATU, Unimputable Cases",-2,-2,1,Rounded label; the deposited script sets no seed,-2,1,
coppock_kaur_2022,figure_a2|high_bound_atu_unimputable_cases,figure_a2,"high bound, ATU, Unimputable Cases",48,48,1,,48,1,
coppock_kaur_2022,figure_a2|low_bound_att_before_any_data,figure_a2,"low bound, ATT, Before Any Data",-100,-100,1,Rounded label; the deposited script sets no seed,-100,1,
coppock_kaur_2022,figure_a2|high_bound_att_before_any_data,figure_a2,"high bound, ATT, Before Any Data",100,100,1,,100,1,
coppock_kaur_2022,figure_a2|low_bound_att_initial_values,figure_a2,"low bound, ATT, Initial Values",-67,-67,1,Rounded label; the deposited script sets no seed,-67,1,
coppock_kaur_2022,figure_a2|high_bound_att_initial_values,figure_a2,"high bound, ATT, Initial Values",33,33,1,,33,1,
coppock_kaur_2022,figure_a2|low_bound_att_disbanded_and_discredited_cases,figure_a2,"low bound, ATT, Disbanded and Discredited Cases",-67,-67,1,Rounded label; the deposited script sets no seed,-67,1,
coppock_kaur_2022,figure_a2|high_bound_att_disbanded_and_discredited_cases,figure_a2,"high bound, ATT, Disbanded and Discredited Cases",33,33,1,,33,1,
coppock_kaur_2022,figure_a2|low_bound_att_treated_cases,figure_a2,"low bound, ATT, Treated Cases",-10,-10,1,Rounded label; the deposited script sets no seed,-10,1,
coppock_kaur_2022,figure_a2|high_bound_att_treated_cases,figure_a2,"high bound, ATT, Treated Cases",-10,-10,1,,-10,1,
coppock_kaur_2022,figure_a2|low_bound_att_non_transitional_cases,figure_a2,"low bound, ATT, Non-transitional Cases",-10,-10,1,Rounded label; the deposited script sets no seed,-10,1,
coppock_kaur_2022,figure_a2|high_bound_att_non_transitional_cases,figure_a2,"high bound, ATT, Non-transitional Cases",-10,-10,1,,-10,1,
coppock_kaur_2022,figure_a2|low_bound_att_untreated_cases,figure_a2,"low bound, ATT, Untreated Cases",-10,-10,1,Rounded label; the deposited script sets no seed,-10,1,
coppock_kaur_2022,figure_a2|high_bound_att_untreated_cases,figure_a2,"high bound, ATT, Untreated Cases",-10,-10,1,,-10,1,
coppock_kaur_2022,figure_a2|low_bound_att_unimputable_cases,figure_a2,"low bound, ATT, Unimputable Cases",-10,-10,1,Rounded label; the deposited script sets no seed,-10,1,
coppock_kaur_2022,figure_a2|high_bound_att_unimputable_cases,figure_a2,"high bound, ATT, Unimputable Cases",-10,-10,1,,-10,1,
coppock_kaur_2022,figure_4|low_bound_us_the_20_cases_with_expert_responses,figure_4,"low bound, us, The 20 Cases with Expert Responses",-10,-10,1,,-10,1,
coppock_kaur_2022,figure_4|high_bound_us_the_20_cases_with_expert_responses,figure_4,"high bound, us, The 20 Cases with Expert Responses",40,40,1,,40,1,
coppock_kaur_2022,figure_4|low_bound_expert_the_20_cases_with_expert_responses,figure_4,"low bound, expert, The 20 Cases with Expert Responses",-15,-15,1,,-15,1,
coppock_kaur_2022,figure_4|high_bound_expert_the_20_cases_with_expert_responses,figure_4,"high bound, expert, The 20 Cases with Expert Responses",15,15,1,,15,1,
coppock_kaur_2022,figure_4|low_bound_us_all_63_democratization_cases,figure_4,"low bound, us, All 63 Democratization Cases",-2,-2,1,,-2,1,
coppock_kaur_2022,figure_4|high_bound_us_all_63_democratization_cases,figure_4,"high bound, us, All 63 Democratization Cases",49,49,1,,49,1,
coppock_kaur_2022,figure_4|low_bound_expert_all_63_democratization_cases,figure_4,"low bound, expert, All 63 Democratization Cases",-19,-19,1,,-19,1,
coppock_kaur_2022,figure_4|high_bound_expert_all_63_democratization_cases,figure_4,"high bound, expert, All 63 Democratization Cases",59,59,1,,59,1,
coppock_kaur_2022,figure_4|low_bound_combined_all_63_democratization_cases,figure_4,"low bound, combined, All 63 Democratization Cases",-3,-3,1,,-3,1,
coppock_kaur_2022,figure_4|high_bound_combined_all_63_democratization_cases,figure_4,"high bound, combined, All 63 Democratization Cases",41,41,1,,41,1,
coppock_kaur_2022,abstract|bounds_width_prior_to_any_analysis,abstract,bounds width prior to any analysis,100,100,1,The abstract says 100 points; the body says the bounds are 200 points wide before any data and 100 once half the potential outcomes are revealed,100,1,
coppock_kaur_2022,abstract|bounds_width_after_imputation,abstract,bounds width after imputation,51,51,1,,51,1,
coppock_kaur_2022,abstract|bounds_width_after_the_expert_survey,abstract,bounds width after the expert survey,44,44,1,,44,1,
coppock_kaur_2022,text|democratization_cases,text,democratization cases,63,63,1,,63,1,
coppock_kaur_2022,text|treated_democratization_cases,text,treated democratization cases,8,8,1,,8,1,
coppock_kaur_2022,text|bounds_width_before_any_data_are_collected,text,bounds width before any data are collected,200,200,1,,200,1,
coppock_kaur_2022,text|bounds_width_once_half_the_potential_outcomes_are_revealed,text,bounds width once half the potential outcomes are revealed,100,100,1,,100,1,
coppock_kaur_2022,text|final_ate_lower_bound,text,final ATE lower bound,-2,-2,1,,-2,1,
coppock_kaur_2022,text|final_ate_upper_bound,text,final ATE upper bound,49,49,1,,49,1,
coppock_kaur_2022,text|final_ate_bounds_width,text,final ATE bounds width,51,51,1,,51,1,
coppock_kaur_2022,text|toy_example_treated_units_with_outcome_1,text,toy example: treated units with outcome 1,4,3,0,The text says the outcome is 1 for three treated units; Table 3 and the deposited data show four,4,0,paper_internal
coppock_kaur_2022,text|toy_example_untreated_units_with_outcome_1,text,toy example: untreated units with outcome 1,1,1,1,,1,1,
